Назва навчального закладу,Місце,TOP,Рейт. бал,"Бал НМТ",Учнів / тестів,Склав (%)
Миколаївський ліцей №2 Миколаївської міськради Миколаївської обл.,1,233,136.4,159.5,52/153,100
Миколаївський ліцей імені професора М.Александрова Миколаївської міськради Миколаївської обл.,2,248,136.1,158.8,69/201,100
Миколаївський ліцей №38 імені Володимира Дмитровича Чайки Миколаївської міськради Миколаївської обл.,3,266,135.7,158.4,67/195,100
Миколаївський ліцей імені Миколи Аркаса Миколаївської міськради Миколаївської обл.,4,293,135.2,158.6,26/78,100
Миколаївська загальноосвітня санаторна школа-інтернат І-ІІІ ст. № 4 Миколаївської обласної ради,5,306,134.9,158.4,19/57,100
Миколаївський ліцей №58 Миколаївської міськради Миколаївської обл.,6,378,134,156.7,57/162,99
Миколаївський ліцей №41 Миколаївської міськради Миколаївської обл.,7,762,130.3,152.3,57/168,100
Миколаївський ліцей №22 Миколаївської міськради Миколаївської обл.,8,812,130,151.6,80/228,99
Миколаївський ліцей №55 Миколаївської міськради Миколаївської обл.,9,978,128.9,150.7,53/153,100
Миколаївський економічний ліцей №2 Миколаївської міськради Миколаївської обл.,10,1173,127.8,148.8,90/261,100
Миколаївський класичний ліцей Миколаївської міськради Миколаївської обл.,11,1322,126.9,148.5,52/147,99
Миколаївський ліцей №51 Миколаївської міськради Миколаївської обл.,12,1385,126.7,147.9,63/180,99
Миколаївський ліцей №40 Миколаївської міськради Миколаївської обл.,13,1436,126.4,147.9,44/132,100
Миколаївський ліцей №19 Миколаївської міськради Миколаївської обл.,14,1574,125.9,147.5,34/99,100
Миколаївський ліцей «Академія дитячої творчості» Миколаївської міськради Миколаївської обл.,15,1659,125.5,146.8,45/129,100
Миколаївський юридичний ліцей Миколаївської міськради Миколаївської обл.,16,1709,125.2,145.9,83/243,100
Миколаївський ліцей №42 Миколаївської міськради Миколаївської обл.,17,1976,124.2,145.6,29/87,100
Миколаївська ЗОШ І-ІІІ ст. №50 ім. Г.Л. Дівіної Миколаївської міськради Миколаївської обл.,18,2320,123,144.4,20/57,96
Миколаївська загальноосвітня санаторна школа-інтернат I-III ст. № 7 Миколаївської обласної ради,19,2347,122.9,144.2,24/69,100
Миколаївська ЗОШ I-III ст. №11 Миколаївської міськради Миколаївської обл.,20,2359,122.9,143.8,44/126,100
Миколаївська ЗОШ I-III ст. №46 Миколаївської міськради Миколаївської обл.,21,2452,122.6,143.7,29/84,100
Миколаївський економічний ліцей №1 Миколаївської міськради Миколаївської обл.,22,2583,122.1,142.9,50/141,99
Миколаївська ЗОШ I-III ст. №20 Миколаївської міськради Миколаївської обл.,23,2633,122,143.1,22/63,100
Миколаївська ЗОШ I-III ст. №17 імені Саражана В.Г. Миколаївської міськради Миколаївської обл.,24,2740,121.6,142.7,25/72,100
Миколаївська ЗОШ I-III ст. №61 Миколаївської міськради Миколаївської обл.,25,2770,121.5,142.8,14/36,100
Миколаївський ліцей №53 Миколаївської міськради Миколаївської обл.,26,2800,121.4,142,55/153,100
Миколаївська ЗОШ I-III ст. №24 Миколаївської міськради Миколаївської обл.,27,3050,120.7,141.7,16/45,98
Комунальний заклад «Херсонський базовий медичний фаховий коледж» Херсонської обласної ради,28,3111,120.5,141.2,42/108,98
Миколаївський ліцей №3 Миколаївської міськради Миколаївської обл.,29,3299,120,140.1,65/183,99
Миколаївський ліцей імені Олега Ольжича Миколаївської міськради Миколаївської обл.,30,3642,119.1,139.4,44/126,98
Миколаївська ЗОШ I-III ст. №57 імені Тараса Григоровича Шевченка Миколаївської міськради Миколаївської обл.,31,3643,119.1,139.7,28/78,100
ВСП Миколаївський будівельний фаховий коледж Київського національного університету будівництва і архітектури,32,3734,118.9,138.4,98/261,100
Миколаївська ЗОШ I-III ст. №54 Миколаївської міськради Миколаївської обл.,33,3849,118.6,138.6,53/153,98
Миколаївський політехнічний фаховий коледж,34,4030,118,136.5,152/429,99
Миколаївський базовий медичний фаховий коледж Миколаївської обласної ради,35,4082,117.9,137.2,93/267,98
Миколаївський ліцей №34 Миколаївської міськради Миколаївської обл.,36,4251,117.3,137.1,58/165,99
Миколаївська ЗОШ I-III ст. №39 імені Ю.І.Макарова Миколаївської міськради Миколаївської обл.,37,4362,117,137.1,32/90,98
Миколаївська ЗОШ I-III ст. №12 Миколаївської міськради Миколаївської обл.,38,4430,116.8,137,23/69,99
Технолого-економічний коледж Миколаївського національного аграрного університету,39,4435,116.8,134.6,189/510,98
Миколаївський муніципальний академічний коледж,40,4649,116.1,136.5,9/21,100
Миколаївська ЗОШ I-III ст. №26 Миколаївської міськради Миколаївської обл.,41,4705,116,136.1,27/75,99
Миколаївський фаховий коледж економіки та харчових технологій,42,5014,115.1,134.5,60/171,97
"ВСП ""Фаховий коледж Миколаївського національного університету імені В.О. Сухомлинського""",43,5262,114.4,134.1,27/78,99
