,date_time,streamId,audioLevelsDb,left,right
0,2024-01-19 08:12:36,input_1,"[-23, -23]",-23,-23
1,2024-01-19 08:12:38,input_1,"[-22, -22]",-22,-22
2,2024-01-19 08:12:40,input_1,"[-20, -20]",-20,-20
3,2024-01-19 08:12:42,input_1,"[-22, -22]",-22,-22
4,2024-01-19 08:12:44,input_1,"[-21, -24]",-21,-24
5,2024-01-19 08:12:46,input_1,"[-24, -22]",-24,-22
6,2024-01-19 08:12:49,input_1,"[-21, -16]",-21,-16
7,2024-01-19 08:12:51,input_1,"[-17, -17]",-17,-17
8,2024-01-19 08:12:53,input_1,"[-16, -18]",-16,-18
9,2024-01-19 08:12:55,input_1,"[-19, -18]",-19,-18
10,2024-01-19 08:12:57,input_1,"[-19, -19]",-19,-19
11,2024-01-19 08:12:59,input_1,"[-20, -20]",-20,-20
12,2024-01-19 08:13:01,input_1,"[-18, -17]",-18,-17
13,2024-01-19 08:13:03,input_1,"[-19, -17]",-19,-17
14,2024-01-19 08:13:05,input_1,"[-21, -19]",-21,-19
15,2024-01-19 08:13:07,input_1,"[-22, -21]",-22,-21
16,2024-01-19 08:13:09,input_1,"[-23, -22]",-23,-22
17,2024-01-19 08:13:11,input_1,"[-26, -26]",-26,-26
18,2024-01-19 08:13:13,input_1,"[-32, -31]",-32,-31
19,2024-01-19 08:13:15,input_1,"[-38, -39]",-38,-39
20,2024-01-19 08:13:17,input_1,"[-35, -39]",-35,-39
21,2024-01-19 08:13:19,input_1,"[-34, -39]",-34,-39
22,2024-01-19 08:13:21,input_1,"[-28, -31]",-28,-31
23,2024-01-19 08:13:23,input_1,"[-30, -32]",-30,-32
24,2024-01-19 08:13:25,input_1,"[-33, -36]",-33,-36
25,2024-01-19 08:13:28,input_1,"[-34, -35]",-34,-35
26,2024-01-19 08:13:30,input_1,"[-32, -34]",-32,-34
27,2024-01-19 08:13:32,input_1,"[-30, -32]",-30,-32
28,2024-01-19 08:13:34,input_1,"[-29, -29]",-29,-29
29,2024-01-19 08:13:36,input_1,"[-28, -32]",-28,-32
30,2024-01-19 08:13:38,input_1,"[-27, -30]",-27,-30
31,2024-01-19 08:13:40,input_1,"[-25, -24]",-25,-24
32,2024-01-19 08:13:42,input_1,"[-28, -25]",-28,-25
33,2024-01-19 08:13:44,input_1,"[-26, -26]",-26,-26
34,2024-01-19 08:13:46,input_1,"[-31, -32]",-31,-32
35,2024-01-19 08:13:48,input_1,"[-36, -34]",-36,-34
36,2024-01-19 08:13:50,input_1,"[-21, -23]",-21,-23
37,2024-01-19 08:13:53,input_1,"[-18, -20]",-18,-20
38,2024-01-19 08:13:55,input_1,"[-19, -17]",-19,-17
39,2024-01-19 08:13:57,input_1,"[-16, -17]",-16,-17
40,2024-01-19 08:13:59,input_1,"[-26, -21]",-26,-21
41,2024-01-19 08:14:01,input_1,"[-26, -28]",-26,-28
42,2024-01-19 08:14:03,input_1,"[-30, -36]",-30,-36
43,2024-01-19 08:14:05,input_1,"[-36, -36]",-36,-36
