,date_time,mem.total,mem.free,mem.unit,mem.usage,cpu.total,cpu.busy,cpu.idle,cpu.usage,disk.used,disk.free,disk.usedProc,net.interface,net.tx,net.rx,net.unit,uptime.days,uptime.minutes,uptime.seconds,uptime.hours
0,2024-01-19 08:12:36,1983,1472,Mb,16,947752,169349,778402,5.0,6507996,44095836,12,eth0,52427,330947,bps,11,25.0,11.0,
1,2024-01-19 08:12:47,1983,1461,Mb,16,947763,169351,778411,1.0,6508016,44095816,12,eth0,31964,634067,bps,11,25.0,22.0,
2,2024-01-19 08:12:58,1983,1461,Mb,16,947774,169353,778421,56.0,6508024,44095808,12,eth0,18057,721800,bps,11,25.0,33.0,
3,2024-01-19 08:13:09,1983,1474,Mb,15,947785,169355,778430,3.0,6508036,44095796,12,eth0,48993,807201,bps,11,25.0,44.0,
4,2024-01-19 08:13:20,1983,1475,Mb,15,947796,169357,778439,5.0,6508052,44095780,12,eth0,49259,1327094,bps,11,25.0,55.0,
5,2024-01-19 08:13:31,1983,1457,Mb,16,947807,169359,778447,4.0,6508072,44095760,12,eth0,49425,971049,bps,11,26.0,6.0,
6,2024-01-19 08:13:42,1983,1439,Mb,17,947817,169360,778457,66.0,6508268,44095564,12,eth0,50497,930635,bps,11,26.0,17.0,
7,2024-01-19 08:13:53,1983,1474,Mb,15,947828,169362,778466,1.0,6508108,44095724,12,eth0,30481,470700,bps,11,26.0,28.0,
8,2024-01-19 08:14:04,1983,1461,Mb,16,947839,169365,778474,2.0,6508124,44095708,12,eth0,31564,40009,bps,11,26.0,39.0,
9,2024-01-19 08:14:15,1983,1458,Mb,16,947850,169366,778483,55.0,6508144,44095688,12,eth0,36980,55785,bps,11,26.0,50.0,
10,2024-01-19 08:14:26,1983,1445,Mb,17,947861,169368,778493,14.0,6508160,44095672,12,eth0,41406,990608,bps,11,27.0,1.0,
11,2024-01-19 08:14:37,1983,1455,Mb,16,947872,169370,778501,8.0,6508180,44095652,12,eth0,35836,458969,bps,11,27.0,12.0,
12,2024-01-19 08:14:48,1983,1458,Mb,16,947883,169373,778510,3.0,6508204,44095628,12,eth0,44508,810116,bps,11,27.0,23.0,
13,2024-01-19 08:14:59,1983,1451,Mb,17,947894,169374,778520,36.0,6508216,44095616,12,eth0,19785,361601,bps,11,27.0,34.0,
